num_episodes_passed,cumulative_reward,episode_length,avg_reward,unclipped_episode_reward,unclipped_average_reward
370,2.0,294,1.5189189189189189,2.0,1.518918918918919
371,4.0,363,1.5256064690026954,4.0,1.5256064690026954
372,1.0,209,1.5241935483870968,1.0,1.5241935483870968
373,2.0,234,1.5254691689008042,2.0,1.5254691689008042
374,3.0,312,1.5294117647058822,3.0,1.5294117647058822
375,3.0,307,1.5333333333333332,3.0,1.5333333333333332
376,3.0,340,1.5372340425531914,3.0,1.5372340425531914
377,2.0,250,1.5384615384615383,2.0,1.5384615384615383
378,4.0,393,1.5449735449735449,4.0,1.5449735449735449
379,2.0,297,1.5461741424802109,2.0,1.546174142480211
380,1.0,204,1.544736842105263,1.0,1.544736842105263
381,3.0,330,1.5485564304461941,3.0,1.548556430446194
382,2.0,266,1.5497382198952878,2.0,1.5497382198952878
383,2.0,269,1.5509138381201042,2.0,1.5509138381201042
384,2.0,257,1.552083333333333,2.0,1.552083333333333
385,2.0,269,1.5532467532467529,2.0,1.5532467532467529
386,1.0,200,1.5518134715025904,1.0,1.5518134715025904
av_max_q,0.062545393710024655
387,2.0,267,1.5529715762273899,2.0,1.55297157622739
388,3.0,329,1.5567010309278349,3.0,1.5567010309278349
389,6.0,519,1.5681233933161951,6.0,1.568123393316195
390,2.0,299,1.569230769230769,2.0,1.569230769230769
391,2.0,296,1.570332480818414,2.0,1.570332480818414
392,2.0,289,1.5714285714285712,2.0,1.5714285714285712
393,3.0,338,1.5750636132315519,3.0,1.5750636132315519
394,4.0,379,1.5812182741116749,4.0,1.581218274111675
395,5.0,423,1.5898734177215188,5.0,1.5898734177215188
396,3.0,306,1.5934343434343432,3.0,1.5934343434343432
397,3.0,307,1.5969773299748109,3.0,1.596977329974811
398,4.0,367,1.6030150753768841,4.0,1.6030150753768841
399,2.0,242,1.6040100250626563,2.0,1.6040100250626563
400,3.0,311,1.6074999999999997,3.0,1.6074999999999997
401,2.0,260,1.6084788029925183,2.0,1.6084788029925183
402,2.0,251,1.6094527363184077,2.0,1.6094527363184077
403,3.0,345,1.6129032258064513,3.0,1.6129032258064513
404,2.0,264,1.6138613861386135,2.0,1.6138613861386135
av_max_q,0.038816161861177534
405,6.0,489,1.6246913580246911,6.0,1.6246913580246911
406,0.0,159,1.6206896551724135,0.0,1.6206896551724135
407,3.0,304,1.6240786240786238,3.0,1.6240786240786238
408,2.0,247,1.6249999999999998,2.0,1.6249999999999998
409,3.0,323,1.6283618581907089,3.0,1.6283618581907089
410,3.0,324,1.6317073170731706,3.0,1.6317073170731706
411,2.0,246,1.632603406326034,2.0,1.632603406326034
412,3.0,305,1.6359223300970873,3.0,1.6359223300970873
413,2.0,233,1.6368038740920097,2.0,1.6368038740920097
414,4.0,329,1.642512077294686,4.0,1.642512077294686
415,3.0,359,1.6457831325301204,3.0,1.6457831325301204
416,5.0,415,1.6538461538461537,5.0,1.6538461538461537
417,2.0,274,1.6546762589928057,2.0,1.6546762589928057
418,4.0,436,1.6602870813397128,4.0,1.6602870813397128
419,3.0,306,1.6634844868735081,3.0,1.6634844868735081
420,4.0,337,1.6690476190476189,4.0,1.669047619047619
421,9.0,639,1.68646080760095,9.0,1.68646080760095
422,4.0,346,1.6919431279620851,4.0,1.6919431279620851
av_max_q,0.057013989426195621
423,4.0,363,1.697399527186761,4.0,1.697399527186761
424,6.0,505,1.7075471698113205,6.0,1.7075471698113205
425,5.0,406,1.7152941176470586,5.0,1.7152941176470586
426,2.0,250,1.7159624413145538,2.0,1.7159624413145538
427,0.0,170,1.7119437939110067,0.0,1.7119437939110067
428,4.0,349,1.7172897196261678,4.0,1.7172897196261678
429,4.0,388,1.7226107226107221,4.0,1.7226107226107221
430,4.0,366,1.7279069767441855,4.0,1.7279069767441855
431,3.0,315,1.7308584686774937,3.0,1.7308584686774937
432,4.0,402,1.7361111111111107,4.0,1.7361111111111107
433,6.0,494,1.7459584295612005,6.0,1.7459584295612005
434,4.0,369,1.7511520737327184,4.0,1.7511520737327184
435,5.0,446,1.7586206896551719,5.0,1.758620689655172
436,4.0,377,1.7637614678899078,4.0,1.7637614678899078
437,6.0,505,1.7734553775743702,6.0,1.7734553775743702
438,2.0,242,1.7739726027397256,2.0,1.7739726027397256
439,2.0,265,1.7744874715261953,2.0,1.7744874715261953
av_max_q,0.053979539661668241
440,1.0,229,1.7727272727272723,1.0,1.7727272727272723
441,3.0,319,1.7755102040816322,3.0,1.7755102040816322
442,1.0,247,1.7737556561085968,1.0,1.7737556561085968
443,0.0,162,1.7697516930022568,0.0,1.7697516930022568
444,1.0,200,1.7680180180180174,1.0,1.7680180180180174
445,3.0,339,1.7707865168539318,3.0,1.7707865168539318
446,4.0,392,1.7757847533632281,4.0,1.775784753363228
447,3.0,345,1.7785234899328852,3.0,1.7785234899328852
448,1.0,194,1.7767857142857135,1.0,1.7767857142857135
449,3.0,350,1.7795100222717142,3.0,1.7795100222717142
450,5.0,418,1.786666666666666,5.0,1.786666666666666
451,2.0,262,1.7871396895787133,2.0,1.7871396895787133
452,3.0,317,1.7898230088495568,3.0,1.7898230088495568
453,3.0,309,1.7924944812362025,3.0,1.7924944812362025
454,4.0,332,1.7973568281938319,4.0,1.797356828193832
455,1.0,235,1.795604395604395,1.0,1.795604395604395
